Grant,Sponsored Program,Region,Country,Code
908166,90003752,ANE/LAC,Pakistan,PK
908167,90003786,ESA,Mozambique,MZ
908288,90007639,WCA,Madagascar,MG
908283,90007647,ESA,Mozambique,MZ
908285,90007650,ANE/LAC,Afghanistan,AF
907848,90022752,ESA,Mozambique,MZ
908107,90022902,Global,Global,US
907850,90023650,ESA,Mozambique,MZ
907797,90023653,ANE/LAC,Afghanistan,AF
908271,90027299,ANE/LAC,Philippines,PH
907951,90027428,ANE/LAC,Afghanistan,AF
907992,90027959,ANE/LAC,Afghanistan,AF
908283,90029298,ESA,Mozambique,MZ
908283,90033064,ESA,Mozambique,MZ
103059,90033530,ESA,Zambia,ZM
103961,90034925,ESA,Tanzania,TZ
908173,90034931,ANE/LAC,Angola,AO
104114,90035097,WCA,Nigeria,NG
104076,90035145,ESA,Zambia,ZM
908283,90035429,ESA,Mozambique,MZ
104321,90035454,ESA,Tanzania,TZ
104309,90035527,MCHIP - Core,Global,US
104321,90035547,ESA,Tanzania,TZ
104114,90036515,WCA,Nigeria,NG
105130,90036930,ESA,Swaziland,SZ
105248,90037149,ANE/LAC,Peru,PE
105346,90037290,ESA,Zambia,ZM
105346,90037291,ESA,Zambia,ZM
104309,90037638,MCHIP - Core,Global,US
104309,90037639,ESA,Mozambique,MZ
104309,90037640,ESA,Mozambique,MZ
104309,90037641,WCA,Nigeria,NG
104309,90037642,WCA,Nigeria,NG
104309,90037643,ESA,Kenya,KE
104309,90037644,ESA,Kenya,KE
104309,90037672,MCHIP - Core,Global,US
104309,90037673,MCHIP - Core,Global,US
104309,90037674,MCHIP - Core,Global,US
104309,90037675,MCHIP - Core,Global,US
104309,90037676,WCA,Burkina-Faso,BF
104309,90037677,WCA,Burkina-Faso,BF
105828,90037961,WCA,Cote D'Ivoire,CI
105828,90037962,WCA,Cote D'Ivoire,CI
105842,90038120,WCA,Liberia,LR
105956,90038211,ESA,Zambia,ZM
105956,90038212,ESA,Zambia,ZM
105956,90038214,ESA,Zambia,ZM
105956,90038216,ESA,Zambia,ZM
105956,90038217,ESA,Zambia,ZM
105956,90038218,ESA,Zambia,ZM
104309,90038498,ANE/LAC,India,IN
104309,90038499,ANE/LAC,India,IN
104114,90038701,WCA,Nigeria,NG
106291,90038825,ESA,Mozambique,MZ
106291,90038826,ESA,Mozambique,MZ
106291,90038827,ESA,Mozambique,MZ
106291,90038828,ESA,Mozambique,MZ
106291,90038829,ESA,Mozambique,MZ
106291,90038830,ESA,Mozambique,MZ
104309,90038896,ESA,Tanzania,TZ
104309,90038897,ESA,Tanzania,TZ
104309,90039086,WCA,Liberia,LR
104309,90039087,WCA,Liberia,LR
106679,90039292,ESA,Botswana,BW
106679,90039293,ESA,Botswana,BW
106681,90039294,ESA,Kenya,KE
106681,90039295,ESA,Kenya,KE
106291,90039311,ESA,Mozambique,MZ
106291,90039312,ESA,Mozambique,MZ
101858,90039406,ESA,Ethiopia,ET
101858,90039407,ESA,Ethiopia,ET
104309,90039525,ESA,South Africa,ZA
104309,90039526,ESA,South Africa,ZA
104309,90039527,ESA,Swaziland,SZ
104309,90039528,ESA,Swaziland,SZ
104309,90039529,ESA,Lesotho,LS
104309,90039530,ESA,Lesotho,LS
104309,90039531,ESA,Malawi,MW
104309,90039532,ESA,Malawi,MW
104309,90039533,ANE/LAC,Indonesia,ID
104309,90039534,ANE/LAC,Indonesia,ID
104309,90039535,ESA,Rwanda,RW
104309,90039536,ESA,Rwanda,RW
104309,90039537,ESA,Kenya,KE
106808,90039545,WCA,Nigeria,NG
106808,90039546,WCA,Nigeria,NG
107023,90039942,ANE/LAC,Bangladesh,BD
104309,90039984,ANE/LAC,Bolivia,BO
104309,90040045,ANE/LAC,Bolivia,BO
104309,90040046,ANE/LAC,Paraguay,PY
104309,90040047,ANE/LAC,Paraguay,PY
107058,90040065,Global,Global,GL
107061,90040073,ESA,Kenya,KE
107061,90040074,ESA,Kenya,KE
104309,90040249,WCA,Madagascar,MG
104309,90040250,WCA,Madagascar,MG
104321,90040529,ESA,Tanzania,TZ
