Grant,Ceiling Amount,Sponsored Program,F&A Rate Spon Pgm,Project Start Date,Project End Date,Fund/_number,type_of_fund,Sponsored Class,Sp_Class_name,Budget,Actual Expense
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,610000,Salaries & Wages,"$ 88,319.00","$ 78,841.99"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,612000,Administrative Salar,"$ 60,938.52","$ 57,824.86"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,620000,Fringe Benefits,"$ 49,848.00","$ 46,261.53"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,630000,Supplies & Materials,"$ 10,273.25","$ 9,088.37"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,640300,Contractual Services,"$ 28,862.50","$ 26,362.69"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,641400,Telecommunications,"$ 7,078.75","$ 6,309.00"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,642500,Other Expenses,"$ 6,397.50","$ 6,162.80"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,643000,Other Expenses Exclu,$ 63.25,$ 38.31
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,652000,Travel Domestic,"$ 10,465.00","$ 2,559.10"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,652100,Travel Foreign,"$ 44,566.25","$ 34,629.21"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,653400,Equipment,"$ 31,327.25","$ 27,461.75"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,690007,Recharge,"$ 38,282.25","$ 35,010.49"
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,691500,Service Center,0,$ 297.28
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,699998,F & A Budgeting,"$ 62,443.75",0
110387,"USD 6,450,000.00",90046216,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,699999,Facilities & Admin C,0,"$ 59,258.26"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,610000,Salaries & Wages,"$ 288,574.25","$ 275,112.84"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,620000,Fringe Benefits,"$ 44,069.25","$ 41,494.07"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,630000,Supplies & Materials,"$ 29,036.00","$ 26,192.54"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,637000,Repairs & Maintenanc,"$ 13,350.75","$ 12,054.25"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,640102,Leased Facilities Ex,"$ 42,633.00","$ 39,013.71"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,640300,Contractual Services,"$ 54,353.00","$ 51,548.16"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,641400,Telecommunications,"$ 13,137.75","$ 12,089.39"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,642500,Other Expenses,"$ 16,112.25","$ 15,609.24"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,643000,Other Expenses Exclu,$ 625.00,"$ -1,254.68"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,652000,Travel Domestic,"$ 85,385.75","$ 78,369.61"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,652100,Travel Foreign,"$ 84,521.25","$ 81,027.84"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,690007,Recharge,"$ 72,472.75","$ 70,678.81"
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,699998,F & A Budgeting,"$ 137,384.05",0
110387,"USD 6,450,000.00",90046217,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,699999,Facilities & Admin C,0,"$ 134,430.00"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,610000,Salaries & Wages,"$ 46,085.75","$ 42,855.38"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,620000,Fringe Benefits,"$ 13,242.25","$ 9,437.10"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,630000,Supplies & Materials,"$ 12,945.75","$ 12,263.14"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,637000,Repairs & Maintenanc,"$ 6,317.50","$ 5,638.14"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,640300,Contractual Services,"$ 8,673.00","$ 7,602.49"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,641400,Telecommunications,"$ 3,088.25","$ 3,039.87"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,642500,Other Expenses,"$ 27,802.50","$ 26,494.12"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,643000,Other Expenses Exclu,"$ 1,067.76",$ 556.63
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,652000,Travel Domestic,"$ 65,577.00","$ 60,721.80"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,652100,Travel Foreign,"$ 39,183.00","$ 36,764.02"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,690007,Recharge,"$ 25,415.75","$ 22,770.29"
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,699998,F & A Budgeting,"$ 45,548.00",0
110387,"USD 6,450,000.00",90046218,21.00,02/01/2011,12/31/2019,9100000000,PRIVATE FUND,699999,Facilities & Admin C,0,"$ 45,208.09"
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,600000,Undistributed Budget,"$ -23,685.33",0
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,610000,Salaries & Wages,"$ 54,892.93","$ 38,704.70"
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,620000,Fringe Benefits,"$ 19,176.40","$ 13,740.09"
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,630000,Supplies & Materials,$ 39.07,$ 27.99
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,640300,Contractual Services,0,$ 542.47
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,641400,Telecommunications,0,$ 0.71
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,642500,Other Expenses,$ 80.06,$ 47.90
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,643000,Other Expenses Exclu,0,$ 8.75
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,652000,Travel Domestic,$ 852.95,$ 90.73
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,652100,Travel Foreign,0,$ 520.42
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,689999,Restricted Balance,$ -117.50,0
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,690007,Recharge,"$ 8,625.34","$ 6,121.68"
111056,"USD 1,113,753.00",90047401,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,691500,Service Center,0,$ 58.47
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,610000,Salaries & Wages,"$ 3,288.40","$ 1,695.94"
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,620000,Fringe Benefits,$ 662.31,$ 662.31
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,630000,Supplies & Materials,$ 568.54,$ 568.54
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,637000,Repairs & Maintenanc,0,$ 8.29
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,640102,Leased Facilities Ex,0,$ 36.83
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,640300,Contractual Services,0,"$ 1,592.46"
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,641400,Telecommunications,0,$ 107.13
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,642500,Other Expenses,$ 617.86,$ 479.46
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,643000,Other Expenses Exclu,0,$ -13.85
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,652000,Travel Domestic,"$ 78,110.92","$ 2,619.10"
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,652100,Travel Foreign,0,"$ 75,491.82"
111056,"USD 1,113,753.00",90047403,0.00,06/01/2011,06/30/2016,9100000000,PRIVATE FUND,690007,Recharge,"$ 8,901.64","$ 8,901.64"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,610000,Salaries & Wages,"$ 473,629.54","$ 392,408.11"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,612000,Administrative Salar,"$ 40,182.10","$ 116,527.27"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,620000,Fringe Benefits,"$ 169,368.77","$ 155,572.09"
