Grant,Sponsored Program,Sponsored Class,Sp Class, May Expenses,,,
110387,90046216,610000,Salaries & Wages,$ 106.77,,,
110387,90046216,612000,Administrative Salar,$ 523.22,,,
110387,90046216,620000,Fringe Benefits,$ 207.39,,,
110387,90046216,642500,Other Expenses,$ 12.50,,,
110387,90046216,690007,Recharge,$ 84.99,,,
110387,90046216,699999,Facilities & Admin C,$ 196.32,,,
110387,90046217,610000,Salaries & Wages,"$ 3,313.88",,,
110387,90046217,620000,Fringe Benefits,$ 620.68,,,
110387,90046217,630000,Supplies & Materials,$ 163.41,,,
110387,90046217,637000,Repairs & Maintenanc,$ 338.39,,,
110387,90046217,640102,Leased Facilities Ex,$ 432.95,,,
110387,90046217,640300,Contractual Services,$ 177.74,,,
110387,90046217,641400,Telecommunications,$ 31.90,,,
110387,90046217,643000,Other Expenses Exclu,$ (48.13),,,
110387,90046217,690007,Recharge,$ 503.08,,,
110387,90046217,699999,Facilities & Admin C,"$ 1,081.31",,,
110387,90046218,610000,Salaries & Wages,$ 307.09,,,
110387,90046218,620000,Fringe Benefits,$ 80.74,,,
110387,90046218,630000,Supplies & Materials,$ 33.11,,,
110387,90046218,640300,Contractual Services,$ 22.08,,,
110387,90046218,641400,Telecommunications,$ 24.28,,,
110387,90046218,642500,Other Expenses,$ 399.38,,,
110387,90046218,643000,Other Expenses Exclu,$ (242.11),,,
110387,90046218,652000,Travel Domestic,$ 559.47,,,
110387,90046218,690007,Recharge,$ 118.40,,,
110387,90046218,699999,Facilities & Admin C,$ 324.36,,,
110989,98006765,640300,Contractual Services,$ 516.18,,,
110989,98006765,642500,Other Expenses,$ 9.58,,,
112544,90050174,610000,Salaries & Wages,"$ 1,857.41",,,
112544,90050174,612000,Administrative Salar,$ 761.52,,,
112544,90050174,620000,Fringe Benefits,$ 646.34,,,
112544,90050174,630000,Supplies & Materials,$ 85.93,,,
112544,90050174,642500,Other Expenses,$ 675.00,,,
112544,90050174,652000,Travel Domestic,$ 12.79,,,
112544,90050174,652100,Travel Foreign,$ 591.48,,,
112544,90050174,690007,Recharge,$ 463.04,,,
112544,90050174,699999,Facilities & Admin C,"$ 1,069.64",,,
112544,90050190,610000,Salaries & Wages,"$ 25,804.38",,,
112544,90050190,620000,Fringe Benefits,"$ 9,859.59",,,
112544,90050190,630000,Supplies & Materials,"$ 1,284.70",,,
112544,90050190,637000,Repairs & Maintenanc,$ 338.77,,,
112544,90050190,640102,Leased Facilities Ex,"$ 3,647.96",,,
112544,90050190,640300,Contractual Services,"$ 1,612.63",,,
112544,90050190,641400,Telecommunications,$ 584.93,,,
112544,90050190,642500,Other Expenses,"$ 3,939.65",,,
112544,90050190,643000,Other Expenses Exclu,$ (866.25),,,
112544,90050190,652000,Travel Domestic,"$ 2,504.20",,,
112544,90050190,652100,Travel Foreign,"$ 1,254.85",,,
112544,90050190,690007,Recharge,"$ 4,996.54",,,
112544,90050190,699999,Facilities & Admin C,"$ 10,957.85",,,
113800,90052706,610000,Salaries & Wages,"$ 5,900.43",,,
113800,90052706,620000,Fringe Benefits,"$ 2,324.18",,,
113800,90052706,630000,Supplies & Materials,$ 81.11,,,
113800,90052706,637000,Repairs & Maintenanc,$ 0.37,,,
113800,90052706,640102,Leased Facilities Ex,$ 229.05,,,
113800,90052706,640300,Contractual Services,$ 426.29,,,
113800,90052706,641400,Telecommunications,$ 64.41,,,
113800,90052706,642500,Other Expenses,$ 610.50,,,
113800,90052706,643000,Other Expenses Exclu,$ 3.83,,,
113800,90052706,652000,Travel Domestic,"$ 3,128.97",,,
113800,90052706,652100,Travel Foreign,"$ 2,717.52",,,
113800,90052706,690007,Recharge,"$ 1,548.67",,,
113800,90052706,699999,Facilities & Admin C,$ 613.27,,,
113800,90052707,610000,Salaries & Wages,$ 117.30,,,
113800,90052707,612000,Administrative Salar,$ 165.70,,,
113800,90052707,620000,Fringe Benefits,$ 96.22,,,
113800,90052707,690007,Recharge,$ 37.92,,,
113800,90052707,699999,Facilities & Admin C,$ 15.02,,,
113800,90067786,612000,Administrative Salar,$ (86.26),,,
113800,90067786,620000,Fringe Benefits,$ (29.33),,,
113800,90067786,690007,Recharge,$ (11.55),,,
113800,90067786,699999,Facilities & Admin C,$ (4.58),,,
113800,90067787,610000,Salaries & Wages,"$ 4,807.35",,,
113800,90067787,620000,Fringe Benefits,$ 861.15,,,
113800,90067787,630000,Supplies & Materials,$ 57.48,,,
113800,90067787,637000,Repairs & Maintenanc,$ 23.64,,,
113800,90067787,640300,Contractual Services,$ 265.18,,,
113800,90067787,641400,Telecommunications,$ 11.36,,,
113800,90067787,642500,Other Expenses,$ 32.39,,,
113800,90067787,643000,Other Expenses Exclu,$ (2.57),,,
113800,90067787,652000,Travel Domestic,$ 65.76,,,
113800,90067787,652100,Travel Foreign,"$ 2,039.24",,,
113800,90067787,690007,Recharge,$ 816.09,,,
113800,90067787,699999,Facilities & Admin C,$ 323.17,,,
113800,90072557,610000,Salaries & Wages,"$ 1,024.74",,,
113800,90072557,620000,Fringe Benefits,$ 403.65,,,
113800,90072557,642500,Other Expenses,$ 1.38,,,
113800,90072557,652000,Travel Domestic,$ 0.21,,,
113800,90072557,652100,Travel Foreign,$ 131.34,,,
113800,90072557,690007,Recharge,$ 156.14,,,
113800,90072557,699999,Facilities & Admin C,$ 61.83,,,
114466,90053669,610000,Salaries & Wages,"$ (4,031.98)",,,
114466,90053669,620000,Fringe Benefits,"$ 2,606.05",,,
114466,90053669,630000,Supplies & Materials,$ 30.84,,,
114466,90053669,637000,Repairs & Maintenanc,$ 20.63,,,
114466,90053669,640102,Leased Facilities Ex,$ (724.17),,,
114466,90053669,640300,Contractual Services,"$ 1,040.08",,,
114466,90053669,641400,Telecommunications,$ 12.38,,,
114466,90053669,642500,Other Expenses,$ (38.50),,,
