Grant,Sponsored Program,Sponsored Class number,sponsored class name,Total Revenue or Expense
107061,90058541,610000,Salaries & Wages,"$ 3,375.04"
107061,90058541,620000,Fringe Benefits,"$ 1,329.43"
107061,90058541,630000,Supplies & Materials,$ 94.87
107061,90058541,637000,Repairs & Maintenanc,$ 7.42
107061,90058541,640102,Leased Facilities Ex,$ 317.10
107061,90058541,640300,Contractual Services,"$ (2,134.70)"
107061,90058541,641400,Telecommunications,$ 30.67
107061,90058541,642500,Other Expenses,$ 567.78
107061,90058541,643000,Other Expenses Exclu,$ (110.54)
107061,90058541,652000,Travel Domestic,"$ 5,030.38"
107061,90058541,652100,Travel Foreign,$ 713.22
107061,90058541,699999,Facilities & Admin C,"$ 1,352.12"
110387,90046216,610000,Salaries & Wages,$ 575.43
110387,90046216,612000,Administrative Salar,"$ 1,184.39"
110387,90046216,620000,Fringe Benefits,$ 628.49
110387,90046216,642500,Other Expenses,$ 60.82
110387,90046216,652000,Travel Domestic,$ 98.50
110387,90046216,652100,Travel Foreign,$ 703.85
110387,90046216,690007,Recharge,$ 264.69
110387,90046216,699999,Facilities & Admin C,$ 738.38
110387,90046217,610000,Salaries & Wages,"$ 23,093.79"
110387,90046217,620000,Fringe Benefits,"$ 4,391.91"
110387,90046217,630000,Supplies & Materials,"$ 1,293.60"
110387,90046217,637000,Repairs & Maintenanc,$ 586.17
110387,90046217,640102,Leased Facilities Ex,"$ 2,615.40"
110387,90046217,640300,Contractual Services,"$ 1,395.34"
110387,90046217,641400,Telecommunications,$ 403.33
110387,90046217,642500,Other Expenses,$ 238.24
110387,90046217,643000,Other Expenses Exclu,$ (179.62)
110387,90046217,652000,Travel Domestic,"$ 2,147.13"
110387,90046217,652100,Travel Foreign,"$ 1,966.66"
110387,90046217,690007,Recharge,"$ 3,369.12"
110387,90046217,699999,Facilities & Admin C,"$ 8,165.90"
110387,90046218,610000,Salaries & Wages,"$ 1,937.66"
110387,90046218,620000,Fringe Benefits,$ 636.01
110387,90046218,630000,Supplies & Materials,$ 440.45
110387,90046218,637000,Repairs & Maintenanc,$ 846.67
110387,90046218,640300,Contractual Services,$ 133.82
110387,90046218,641400,Telecommunications,$ 169.36
110387,90046218,642500,Other Expenses,$ 589.83
110387,90046218,643000,Other Expenses Exclu,$ 104.60
110387,90046218,652000,Travel Domestic,"$ 2,395.97"
110387,90046218,652100,Travel Foreign,$ 281.27
110387,90046218,690007,Recharge,$ 668.58
110387,90046218,699999,Facilities & Admin C,"$ 1,700.92"
110989,98006765,640300,Contractual Services,$ 516.18
110989,98006765,642500,Other Expenses,$ 9.58
112544,90050174,610000,Salaries & Wages,"$ 16,348.26"
112544,90050174,612000,Administrative Salar,"$ 4,046.95"
112544,90050174,620000,Fringe Benefits,"$ 6,277.10"
112544,90050174,630000,Supplies & Materials,"$ 1,499.09"
112544,90050174,640300,Contractual Services,$ 636.25
112544,90050174,642500,Other Expenses,"$ 7,907.70"
112544,90050174,652000,Travel Domestic,$ 12.79
112544,90050174,652100,Travel Foreign,$ 672.11
112544,90050174,690007,Recharge,"$ 3,284.04"
112544,90050174,699999,Facilities & Admin C,"$ 8,543.73"
112544,90050190,610000,Salaries & Wages,"$ 211,472.98"
112544,90050190,620000,Fringe Benefits,"$ 52,373.51"
112544,90050190,630000,Supplies & Materials,"$ 2,910.23"
112544,90050190,637000,Repairs & Maintenanc,"$ 2,836.61"
112544,90050190,640102,Leased Facilities Ex,"$ 24,670.07"
112544,90050190,640300,Contractual Services,"$ 7,143.56"
112544,90050190,641400,Telecommunications,"$ 5,315.53"
112544,90050190,642500,Other Expenses,"$ 8,293.17"
112544,90050190,643000,Other Expenses Exclu,"$ 3,880.10"
112544,90050190,652000,Travel Domestic,"$ 13,616.55"
112544,90050190,652100,Travel Foreign,"$ 19,215.70"
112544,90050190,653400,Equipment,$ (529.67)
112544,90050190,690007,Recharge,"$ 31,767.90"
112544,90050190,699999,Facilities & Admin C,"$ 74,538.61"
112544,96010060,690007,Recharge,$ (745.33)
112544,96010060,699999,Facilities & Admin C,$ (156.52)
112544,96010120,690007,Recharge,$ 37.88
112544,96010120,699999,Facilities & Admin C,$ 7.96
112544,96010121,690007,Recharge,$ (168.19)
112544,96010121,699999,Facilities & Admin C,$ (35.32)
112544,96010122,690007,Recharge,$ (27.66)
112544,96010122,699999,Facilities & Admin C,$ (5.81)
112544,96011940,690007,Recharge,$ (288.72)
112544,96011940,699999,Facilities & Admin C,$ (60.63)
112544,96016758,690007,Recharge,$ (2.53)
112544,96016758,699999,Facilities & Admin C,$ (0.53)
112544,96016795,690007,Recharge,$ (2.30)
112544,96016795,699999,Facilities & Admin C,$ (0.48)
112544,96016797,690007,Recharge,$ (3.88)
112544,96016797,699999,Facilities & Admin C,$ (0.82)
112544,96016798,690007,Recharge,$ (0.23)
112544,96016798,699999,Facilities & Admin C,$ (0.05)
113800,90052706,610000,Salaries & Wages,"$ 42,660.77"
113800,90052706,620000,Fringe Benefits,"$ 16,755.04"
113800,90052706,630000,Supplies & Materials,"$ 1,064.59"
113800,90052706,637000,Repairs & Maintenanc,$ 173.45
113800,90052706,640102,Leased Facilities Ex,"$ 4,049.32"
113800,90052706,640300,Contractual Services,"$ 4,481.44"
113800,90052706,641400,Telecommunications,$ 572.66
113800,90052706,642500,Other Expenses,"$ 3,052.06"
113800,90052706,643000,Other Expenses Exclu,$ 96.47
113800,90052706,652000,Travel Domestic,"$ 8,710.10"
113800,90052706,652100,Travel Foreign,"$ 8,648.42"
113800,90052706,690007,Recharge,"$ 8,085.92"
113800,90052706,699999,Facilities & Admin C,"$ 3,540.62"
113800,90052707,610000,Salaries & Wages,"$ 1,290.22"
113800,90052707,612000,Administrative Salar,"$ 1,070.57"
113800,90052707,620000,Fringe Benefits,$ 802.67
113800,90052707,690007,Recharge,$ 308.25
113800,90052707,699999,Facilities & Admin C,$ 124.99
113800,90067786,612000,Administrative Salar,$ 693.42
113800,90067786,620000,Fringe Benefits,$ 235.76
113800,90067786,690007,Recharge,$ 96.34
113800,90067786,699999,Facilities & Admin C,$ 36.92
113800,90067787,610000,Salaries & Wages,"$ 26,194.11"
113800,90067787,620000,Fringe Benefits,"$ 4,638.04"
113800,90067787,630000,Supplies & Materials,$ 398.86
113800,90067787,637000,Repairs & Maintenanc,$ 184.80
113800,90067787,640102,Leased Facilities Ex,"$ 1,492.06"
113800,90067787,640300,Contractual Services,"$ 2,045.36"
113800,90067787,641400,Telecommunications,$ 85.13
113800,90067787,642500,Other Expenses,$ 848.46
113800,90067787,643000,Other Expenses Exclu,$ (14.99)
113800,90067787,652000,Travel Domestic,$ 379.85
113800,90067787,652100,Travel Foreign,"$ 9,032.66"
113800,90067787,690007,Recharge,"$ 4,069.88"
113800,90067787,699999,Facilities & Admin C,"$ 1,776.76"
113800,90072557,610000,Salaries & Wages,"$ 7,266.08"
113800,90072557,620000,Fringe Benefits,"$ 2,862.11"
113800,90072557,637000,Repairs & Maintenanc,$ 7.02
113800,90072557,640300,Contractual Services,$ 2.02
113800,90072557,642500,Other Expenses,$ 7.29
113800,90072557,643000,Other Expenses Exclu,$ 0.34
113800,90072557,652000,Travel Domestic,"$ 1,081.85"
113800,90072557,652100,Travel Foreign,$ 509.76
113800,90072557,690007,Recharge,$ 998.99
113800,90072557,699999,Facilities & Admin C,$ 458.48
